Type of traveling,Objective,Public/Private,Organization,Type of vehicle,Date,Unit,Total
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,8/1/2025,people,"83,820"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,8/1/2025,people,"46,248"
Railway,within Bangkok,Public,รฟม.,Pink Line Electric Train,8/1/2025,people,"65,951"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,8/1/2025,people,"74,737"
Railway,within Bangkok,Public,กทม.,BTS electric trains,8/1/2025,people,"828,748"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,8/1/2025,people,"38,779"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,8/1/2025,people,"19,098"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,8/1/2025,people,"29,912"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,8/1/2025,people,"27,950"
Air,Inter-provincial travel,Public,ทย.,Regional airports,8/1/2025,people,"18,083"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,8/1/2025,people,135
Air,Inter-provincial travel,Public,กพท.,Samui Airport,8/1/2025,people,"4,363"
road,International traveling,Public,บขส.,Bus Inbound,8/1/2025,people,622
road,International traveling,Public,บขส.,Bus Outbound,8/1/2025,people,"1,362"
Railway,International traveling,Public,รฟท.,Train Inbound,8/1/2025,people,290
Railway,International traveling,Public,รฟท.,Train Outbound,8/1/2025,people,306
River,International traveling,Public,จท.,Border Port Inbound,8/1/2025,people,"2,664"
River,International traveling,Public,จท.,Border Port Outbound,8/1/2025,people,"2,544"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,8/1/2025,people,"78,670"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,8/1/2025,people,"63,516"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,8/1/2025,people,"21,461"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,8/1/2025,people,"18,444"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,8/1/2025,people,"24,989"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,8/1/2025,people,"22,883"
Air,International traveling,Public,ทย.,Regional Airports Inbound,8/1/2025,people,"1,614"
Air,International traveling,Public,ทย.,Regional Airports Outbound,8/1/2025,people,"1,424"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,9/1/2025,people,"107,782"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,9/1/2025,people,"5,324"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),9/1/2025,Units,
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),9/1/2025,Units,
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),9/1/2025,Units,"1,498,945"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),9/1/2025,Units,"1,564,396"
road,within Bangkok,Public,ขบ.,Category 4,9/1/2025,people,949
road,within Bangkok,Public,ขสมก.,BMTA buses,9/1/2025,people,"574,336"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),9/1/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),9/1/2025,people,"374,364"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,9/1/2025,people,"13,660"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,9/1/2025,people,"23,147"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,9/1/2025,people,"25,117"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,9/1/2025,people,"3,728"
River,within Bangkok,Public,จท.,Regional boats,9/1/2025,people,"195,656"
Railway,Inter-provincial travel,Public,รฟท.,Trains,9/1/2025,people,"70,670"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,9/1/2025,people,"511,119"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,9/1/2025,people,"82,909"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,9/1/2025,people,"47,266"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,9/1/2025,people,"66,573"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,9/1/2025,people,"75,610"
Railway,within Bangkok,Public,กทม.,BTS electric trains,9/1/2025,people,"836,257"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,9/1/2025,people,"39,019"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,9/1/2025,people,"19,165"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,9/1/2025,people,"28,669"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,9/1/2025,people,"28,189"
Air,Inter-provincial travel,Public,ทย.,Regional airports,9/1/2025,people,"17,824"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,9/1/2025,people,323
Air,Inter-provincial travel,Public,กพท.,Samui Airport,9/1/2025,people,"4,594"
road,International traveling,Public,บขส.,Bus Inbound,9/1/2025,people,761
road,International traveling,Public,บขส.,Bus Outbound,9/1/2025,people,"1,400"
Railway,International traveling,Public,รฟท.,Train Inbound,9/1/2025,people,290
Railway,International traveling,Public,รฟท.,Train Outbound,9/1/2025,people,306
River,International traveling,Public,จท.,Border Port Inbound,9/1/2025,people,"2,137"
River,International traveling,Public,จท.,Border Port Outbound,9/1/2025,people,"2,092"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,9/1/2025,people,"79,512"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,9/1/2025,people,"61,207"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,9/1/2025,people,"19,456"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,9/1/2025,people,"18,407"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,9/1/2025,people,"29,217"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,9/1/2025,people,"26,259"
Air,International traveling,Public,ทย.,Regional Airports Inbound,9/1/2025,people,"1,355"
Air,International traveling,Public,ทย.,Regional Airports Outbound,9/1/2025,people,"1,533"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,10/1/2025,people,"100,520"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,10/1/2025,people,"1,626"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),10/1/2025,Units,
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),10/1/2025,Units,
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),10/1/2025,Units,"1,674,656"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),10/1/2025,Units,"1,750,450"
road,within Bangkok,Public,ขบ.,Category 4,10/1/2025,people,"1,009"
road,within Bangkok,Public,ขสมก.,BMTA buses,10/1/2025,people,"585,409"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),10/1/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),10/1/2025,people,"383,252"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,10/1/2025,people,"13,745"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,10/1/2025,people,"23,283"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,10/1/2025,people,"24,870"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,10/1/2025,people,"3,641"
River,within Bangkok,Public,จท.,Regional boats,10/1/2025,people,"192,529"
Railway,Inter-provincial travel,Public,รฟท.,Trains,10/1/2025,people,"86,605"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,10/1/2025,people,"520,459"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,10/1/2025,people,"84,529"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,10/1/2025,people,"49,909"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,10/1/2025,people,"71,578"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,10/1/2025,people,"78,266"
Railway,within Bangkok,Public,กทม.,BTS electric trains,10/1/2025,people,"871,458"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,10/1/2025,people,"41,900"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,10/1/2025,people,"18,931"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,10/1/2025,people,"30,567"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,10/1/2025,people,"29,144"
Air,Inter-provincial travel,Public,ทย.,Regional airports,10/1/2025,people,"20,356"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,10/1/2025,people,142
Air,Inter-provincial travel,Public,กพท.,Samui Airport,10/1/2025,people,"4,223"
road,International traveling,Public,บขส.,Bus Inbound,10/1/2025,people,725
road,International traveling,Public,บขส.,Bus Outbound,10/1/2025,people,"1,465"
Railway,International traveling,Public,รฟท.,Train Inbound,10/1/2025,people,464
Railway,International traveling,Public,รฟท.,Train Outbound,10/1/2025,people,298
River,International traveling,Public,จท.,Border Port Inbound,10/1/2025,people,"2,617"
River,International traveling,Public,จท.,Border Port Outbound,10/1/2025,people,"2,416"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,10/1/2025,people,"81,146"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,10/1/2025,people,"64,419"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,10/1/2025,people,"21,688"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,10/1/2025,people,"18,759"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,10/1/2025,people,"27,271"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,10/1/2025,people,"26,224"
Air,International traveling,Public,ทย.,Regional Airports Inbound,10/1/2025,people,966
Air,International traveling,Public,ทย.,Regional Airports Outbound,10/1/2025,people,"1,131"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,11/1/2025,people,"129,601"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,11/1/2025,people,"5,530"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),11/1/2025,Units,
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),11/1/2025,Units,
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),11/1/2025,Units,"1,427,967"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),11/1/2025,Units,"1,484,092"
road,within Bangkok,Public,ขบ.,Category 4,11/1/2025,people,851
road,within Bangkok,Public,ขสมก.,BMTA buses,11/1/2025,people,"452,181"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),11/1/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),11/1/2025,people,"296,848"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,11/1/2025,people,"7,376"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,11/1/2025,people,"7,371"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,11/1/2025,people,"24,301"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,11/1/2025,people,"3,824"
River,within Bangkok,Public,จท.,Regional boats,11/1/2025,people,"193,209"
Railway,Inter-provincial travel,Public,รฟท.,Trains,11/1/2025,people,"75,148"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,11/1/2025,people,"336,918"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,11/1/2025,people,"48,575"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,11/1/2025,people,"36,567"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,11/1/2025,people,"49,963"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,11/1/2025,people,"56,630"
Railway,within Bangkok,Public,กทม.,BTS electric trains,11/1/2025,people,"647,926"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,11/1/2025,people,"27,911"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,11/1/2025,people,"19,386"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,11/1/2025,people,"28,334"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,11/1/2025,people,"27,855"
Air,Inter-provincial travel,Public,ทย.,Regional airports,11/1/2025,people,"19,118"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,11/1/2025,people,133
Air,Inter-provincial travel,Public,กพท.,Samui Airport,11/1/2025,people,"4,369"
road,International traveling,Public,บขส.,Bus Inbound,11/1/2025,people,785
road,International traveling,Public,บขส.,Bus Outbound,11/1/2025,people,"1,348"
Railway,International traveling,Public,รฟท.,Train Inbound,11/1/2025,people,428
Railway,International traveling,Public,รฟท.,Train Outbound,11/1/2025,people,380
River,International traveling,Public,จท.,Border Port Inbound,11/1/2025,people,"2,152"
River,International traveling,Public,จท.,Border Port Outbound,11/1/2025,people,"2,170"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,11/1/2025,people,"79,570"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,11/1/2025,people,"65,294"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,11/1/2025,people,"21,136"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,11/1/2025,people,"19,118"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,11/1/2025,people,"28,639"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,11/1/2025,people,"27,548"
Air,International traveling,Public,ทย.,Regional Airports Inbound,11/1/2025,people,"1,190"
Air,International traveling,Public,ทย.,Regional Airports Outbound,11/1/2025,people,"1,239"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,12/1/2025,people,"97,649"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,12/1/2025,people,"2,340"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),12/1/2025,Units,
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),12/1/2025,Units,
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),12/1/2025,Units,"1,221,835"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),12/1/2025,Units,"1,248,324"
road,within Bangkok,Public,ขบ.,Category 4,12/1/2025,people,760
road,within Bangkok,Public,ขสมก.,BMTA buses,12/1/2025,people,"420,014"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),12/1/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),12/1/2025,people,"270,516"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,12/1/2025,people,"6,327"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,12/1/2025,people,"7,163"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,12/1/2025,people,"24,081"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,12/1/2025,people,"1,853"
River,within Bangkok,Public,จท.,Regional boats,12/1/2025,people,"190,811"
Railway,Inter-provincial travel,Public,รฟท.,Trains,12/1/2025,people,"80,540"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,12/1/2025,people,"283,603"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,12/1/2025,people,"37,617"
